Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0055928,2019-08-06,2019-08-06,,Dr. No,https://www.imdb.com/title/tt0055928/,movie,7.3,110,1962,"Action, Adventure, Thriller",138644,1962-10-05,Terence Young,,
2,tt0057076,2019-08-06,2019-08-06,,From Russia with Love,https://www.imdb.com/title/tt0057076/,movie,7.4,115,1963,"Action, Adventure, Thriller",109985,1963-10-10,Terence Young,,
3,tt0058150,2019-08-06,2019-08-06,,Goldfinger,https://www.imdb.com/title/tt0058150/,movie,7.7,110,1964,"Action, Adventure, Thriller",163122,1964-09-17,Guy Hamilton,,
4,tt0059800,2019-08-06,2019-08-06,,Thunderball,https://www.imdb.com/title/tt0059800/,movie,7.0,130,1965,"Action, Adventure, Thriller",98751,1965-12-09,Terence Young,,
5,tt0062512,2019-08-06,2019-08-06,,You Only Live Twice,https://www.imdb.com/title/tt0062512/,movie,6.9,117,1967,"Action, Adventure, Thriller",91399,1967-06-12,Lewis Gilbert,,
6,tt0064757,2019-08-06,2019-08-06,,On Her Majesty's Secret Service,https://www.imdb.com/title/tt0064757/,movie,6.7,142,1969,"Action, Adventure, Thriller",74718,1969-12-13,Peter R. Hunt,,
7,tt0066995,2019-08-06,2019-08-06,,Diamonds Are Forever,https://www.imdb.com/title/tt0066995/,movie,6.6,120,1971,"Action, Adventure, Thriller",89646,1971-12-14,Guy Hamilton,,
8,tt0070328,2019-08-06,2019-08-06,,Live and Let Die,https://www.imdb.com/title/tt0070328/,movie,6.8,121,1973,"Action, Adventure, Thriller",90746,1973-06-27,Guy Hamilton,,
9,tt0071807,2019-08-06,2019-08-06,,The Man with the Golden Gun,https://www.imdb.com/title/tt0071807/,movie,6.8,125,1974,"Action, Adventure, Thriller",89661,1974-12-14,Guy Hamilton,,
10,tt0076752,2019-08-06,2019-08-06,,The Spy Who Loved Me,https://www.imdb.com/title/tt0076752/,movie,7.1,125,1977,"Action, Adventure, Thriller",92407,1977-07-07,Lewis Gilbert,,
11,tt0079574,2019-08-06,2019-08-06,,Moonraker,https://www.imdb.com/title/tt0079574/,movie,6.3,126,1979,"Action, Adventure, Sci-Fi, Thriller",85007,1979-06-26,Lewis Gilbert,,
12,tt0082398,2019-08-06,2019-08-06,,For Your Eyes Only,https://www.imdb.com/title/tt0082398/,movie,6.8,127,1981,"Action, Adventure, Thriller",86495,1981-06-24,John Glen,,
13,tt0086034,2019-08-06,2019-08-06,,Octopussy,https://www.imdb.com/title/tt0086034/,movie,6.6,131,1983,"Action, Adventure, Thriller",89600,1983-06-06,John Glen,,
14,tt0090264,2019-08-06,2019-08-06,,A View to a Kill,https://www.imdb.com/title/tt0090264/,movie,6.4,131,1985,"Action, Adventure, Thriller",82973,1985-05-22,John Glen,,
15,tt0093428,2019-08-06,2019-08-06,,The Living Daylights,https://www.imdb.com/title/tt0093428/,movie,6.7,130,1987,"Action, Adventure, Thriller",83497,1987-06-27,John Glen,,
16,tt0097742,2019-08-06,2019-08-06,,Licence to Kill,https://www.imdb.com/title/tt0097742/,movie,6.6,133,1989,"Action, Adventure, Thriller",88939,1989-06-13,John Glen,,
17,tt0113189,2019-08-06,2019-08-06,,GoldenEye,https://www.imdb.com/title/tt0113189/,movie,7.2,130,1995,"Action, Adventure, Thriller",228524,1995-11-13,Martin Campbell,,
18,tt0120347,2019-08-06,2019-08-06,,Tomorrow Never Dies,https://www.imdb.com/title/tt0120347/,movie,6.5,119,1997,"Action, Adventure, Thriller",173177,1997-12-09,Roger Spottiswoode,,
19,tt0143145,2019-08-06,2019-08-06,,The World Is Not Enough,https://www.imdb.com/title/tt0143145/,movie,6.4,128,1999,"Action, Adventure, Thriller",180477,1999-11-08,Michael Apted,,
20,tt0246460,2019-08-06,2019-08-06,,Die Another Day,https://www.imdb.com/title/tt0246460/,movie,6.1,133,2002,"Action, Adventure, Thriller",196612,2002-11-11,Lee Tamahori,,
21,tt0381061,2019-08-06,2019-08-06,,Casino Royale,https://www.imdb.com/title/tt0381061/,movie,8.0,144,2006,"Action, Adventure, Thriller",554097,2006-11-14,Martin Campbell,,
22,tt0830515,2019-08-06,2019-08-06,,Quantum of Solace,https://www.imdb.com/title/tt0830515/,movie,6.6,106,2008,"Action, Adventure, Thriller",387401,2008-10-29,Marc Forster,,
23,tt1074638,2019-08-06,2019-08-06,,Skyfall,https://www.imdb.com/title/tt1074638/,movie,7.7,143,2012,"Action, Adventure, Thriller",606724,2012-10-23,Sam Mendes,,
24,tt2379713,2019-08-06,2019-08-06,,Spectre,https://www.imdb.com/title/tt2379713/,movie,6.8,148,2015,"Action, Adventure, Thriller",364908,2015-10-26,Sam Mendes,,
25,tt2382320,2019-08-06,2019-08-06,,No Time to Die,https://www.imdb.com/title/tt2382320/,movie,,,2020,"Action, Adventure, Thriller",,2020-03-31,Cary Joji Fukunaga,,
